,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
456,"[6, -4, 5]","[2, 4, 4]","[10, 0, 9]","[6, 8, 8]","[-4, 5]","[4, 4]","[6, -4, 5, 4]","[2, 4, 4, 4]","[6, -4, 5, 0.16666666666666666, -0.25, 0.2]","[2, 4, 4, 0.5, 0.25, 0.25]","[24, -16, 20]","[8, 16, 16]","[6, -4, 5]","[4, 4, 2]",1.6111111111111112,1.6285714285714286,1.3088235294117647,1.6111111111111112,3.2222222222222223,1.6111111111111112,1.1111111111111112,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
457,"[0, 7, 4, 1, 8, 9, 0, 5, 5, -3, -5, 5, -11]","[2, 3, 2, 5, -11, -9, 7, -1, -4, -10, 7, -8, -8]","[4, 11, 8, 5, 12, 13, 4, 9, 9, 1, -1, 9, -7]","[6, 7, 6, 9, -7, -5, 11, 3, 0, -6, 11, -4, -4]","[0, 7, 4, 1, 8, 9, 0, 5, 5, -5, 5, -11]","[2, 3, 2, 5, -11, -9, 7, -1, -4, 7, -8, -8]","[0, 7, 4, 1, 4, 8, 9, 0, 5, 5, -3, -5, 5, -11]","[2, 3, 2, 5, 4, -11, -9, 7, -1, -4, -10, 7, -8, -8]","[0, 7, 4, 1, 8, 9, 0, 5, 5, -3, -5, 5, -11, 'ZeroDivisionError', 0.14285714285714285, 0.25, 1.0, 0.125, 0.1111111111111111, 'ZeroDivisionError', 0.2, 0.2, -0.3333333333333333, -0.2, 0.2, -0.09090909090909091]","[2, 3, 2, 5, -11, -9, 7, -1, -4, -10, 7, -8, -8, 0.5, 0.3333333333333333, 0.5, 0.2, -0.09090909090909091, -0.1111111111111111, 0.14285714285714285, -1.0, -0.25, -0.1, 0.14285714285714285, -0.125, -0.125]","[0, 28, 16, 4, 32, 36, 0, 20, 20, -12, -20, 20, -44]","[8, 12, 8, 20, -44, -36, 28, -4, -16, -40, 28, -32, -32]","[1, 5, 5, 0, 7, 8, -11, 9, 0, 4, 5, -3, -5]","[-1, -11, -8, -4, 5, 2, 7, -8, -9, 3, 2, 7, -10]",10.096356275303643,9.671428571428573,8.090187590187591,10.096356275303643,error,10.096356275303643,9.557894736842105,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
458,"[2, 5, 3, 9, 6, 6, 6, 0, 8, -6, -1, -1, -2, -3]","[3, -6, 0, 7, 7, 13, 0, -2, 4, 14, 3, 10, 5, 11]","[6, 9, 7, 13, 10, 10, 10, 4, 12, -2, 3, 3, 2, 1]","[7, -2, 4, 11, 11, 17, 4, 2, 8, 18, 7, 14, 9, 15]","[5, 3, 9, 6, 6, 6, 0, 8, -6, -1, -1, -2, -3]","[-6, 0, 7, 7, 13, 0, -2, 4, 14, 3, 10, 5, 11]","[2, 5, 3, 9, 6, 6, 6, 0, 8, -6, -1, -1, -2, -3, 4]","[3, -6, 0, 7, 7, 13, 0, -2, 4, 14, 3, 10, 5, 11, 4]","[2, 5, 3, 9, 6, 6, 6, 0, 8, -6, -1, -1, -2, -3, 0.5, 0.2, 0.3333333333333333, 0.1111111111111111, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 'ZeroDivisionError', 0.125, -0.16666666666666666, -1.0, -1.0, -0.5, -0.3333333333333333]","[3, -6, 0, 7, 7, 13, 0, -2, 4, 14, 3, 10, 5, 11, 0.3333333333333333, -0.16666666666666666, 'ZeroDivisionError', 0.14285714285714285, 0.14285714285714285, 0.07692307692307693, 'ZeroDivisionError', -0.5, 0.25, 0.07142857142857142, 0.3333333333333333, 0.1, 0.2, 0.09090909090909091]","[8, 20, 12, 36, 24, 24, 24, 0, 32, -24, -4, -4, -8, -12]","[12, -24, 0, 28, 28, 52, 0, -8, 16, 56, 12, 40, 20, 44]","[-1, 6, 2, 3, 9, -1, 6, -3, 6, -2, 5, 8, -6, 0]","[-6, 7, 10, 0, 3, 7, 3, 4, 13, 11, -2, 0, 14, 5]",10.10367746288799,10.65962984384037,6.260189211659801,10.10367746288799,error,10.10367746288799,9.90367746288799,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
459,"[12, 7, 10, -3, -7, 5, 5, 10, -4, 8, 7]","[14, -4, 8, 7, 9, 2, -1, 8, 12, 2, -5]","[16, 11, 14, 1, -3, 9, 9, 14, 0, 12, 11]","[18, 0, 12, 11, 13, 6, 3, 12, 16, 6, -1]","[12, 7, 10, -3, 5, 5, 10, -4, 8, 7]","[14, -4, 8, 7, 2, -1, 8, 12, 2, -5]","[12, 7, 10, -3, 4, -7, 5, 5, 10, -4, 8, 7]","[14, -4, 8, 7, 4, 9, 2, -1, 8, 12, 2, -5]","[12, 7, 10, -3, -7, 5, 5, 10, -4, 8, 7, 0.08333333333333333, 0.14285714285714285, 0.1, -0.3333333333333333, -0.14285714285714285, 0.2, 0.2, 0.1, -0.25, 0.125, 0.14285714285714285]","[14, -4, 8, 7, 9, 2, -1, 8, 12, 2, -5, 0.07142857142857142, -0.25, 0.125, 0.14285714285714285, 0.1111111111111111, 0.5, -1.0, 0.125, 0.08333333333333333, 0.5, -0.2]","[48, 28, 40, -12, -28, 20, 20, 40, -16, 32, 28]","[56, -16, 32, 28, 36, 8, -4, 32, 48, 8, -20]","[7, 12, -3, 10, 5, 7, -4, 8, -7, 5, 10]","[2, -1, 2, 12, -4, 14, 7, 8, 9, 8, -5]",7.327716727716727,7.21056721056721,6.079336349924585,7.327716727716727,14.655433455433455,7.327716727716727,6.327716727716727,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
460,"[10, -2, -10, 5, -3, -4, -9, 9, 9, 9]","[-2, 0, -8, 11, -1, -5, -6, -9, -5, -1]","[14, 2, -6, 9, 1, 0, -5, 13, 13, 13]","[2, 4, -4, 15, 3, -1, -2, -5, -1, 3]","[10, -2, 5, -3, -4, -9, 9, 9, 9]","[-2, 0, 11, -1, -5, -6, -9, -5, -1]","[10, 4, -2, -10, 5, -3, -4, -9, 9, 9, 9]","[-2, 4, 0, -8, 11, -1, -5, -6, -9, -5, -1]","[10, -2, -10, 5, -3, -4, -9, 9, 9, 9, 0.1, -0.5, -0.1, 0.2, -0.3333333333333333, -0.25, -0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[-2, 0, -8, 11, -1, -5, -6, -9, -5, -1, -0.5, 'ZeroDivisionError', -0.125, 0.09090909090909091, -1.0, -0.2, -0.16666666666666666, -0.1111111111111111, -0.2, -1.0]","[40, -8, -40, 20, -12, -16, -36, 36, 36, 36]","[-8, 0, -32, 44, -4, -20, -24, -36, -20, -4]","[-3, -9, 9, -10, 5, 9, -2, -4, 9, 10]","[-9, -1, -8, -5, -6, -2, 11, -1, 0, -5]",6.2972222222222225,8.233333333333334,6.086904761904762,6.2972222222222225,error,6.2972222222222225,6.186111111111111,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
461,"[-11, -11, -12, 6, 6]","[7, -14, 14, -3, -12]","[-7, -7, -8, 10, 10]","[11, -10, 18, 1, -8]","[-11, -11, -12, 6]","[7, -14, 14, -12]","[-11, -11, -12, 6, 6, 4]","[7, -14, 14, -3, -12, 4]","[-11, -11, -12, 6, 6, -0.09090909090909091, -0.09090909090909091, -0.08333333333333333, 0.16666666666666666, 0.16666666666666666]","[7, -14, 14, -3, -12, 0.14285714285714285, -0.07142857142857142, 0.07142857142857142, -0.3333333333333333, -0.08333333333333333]","[-44, -44, -48, 24, 24]","[28, -56, 56, -12, -48]","[-11, -11, 6, 6, -12]","[-14, -12, -3, 7, 14]",4.12,2.240401337792642,3.9946524064171127,4.12,8.24,4.12,3.12,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
462,"[-2, -6, -8, 0, -15, -4, -1, -9, 1, -8, 11]","[8, -12, -8, 1, -9, 10, 12, -2, 11, -8, 8]","[2, -2, -4, 4, -11, 0, 3, -5, 5, -4, 15]","[12, -8, -4, 5, -5, 14, 16, 2, 15, -4, 12]","[-2, -6, -8, -15, -4, -1, -9, 1, -8, 11]","[8, -12, -8, -9, 10, 12, -2, 11, -8, 8]","[-2, -6, -8, 0, -15, 4, -4, -1, -9, 1, -8, 11]","[8, -12, -8, 1, -9, 4, 10, 12, -2, 11, -8, 8]","[-2, -6, -8, 0, -15, -4, -1, -9, 1, -8, 11, -0.5, -0.16666666666666666, -0.125, 'ZeroDivisionError', -0.06666666666666667, -0.25, -1.0, -0.1111111111111111, 1.0, -0.125, 0.09090909090909091]","[8, -12, -8, 1, -9, 10, 12, -2, 11, -8, 8, 0.125, -0.08333333333333333, -0.125, 1.0, -0.1111111111111111, 0.1, 0.08333333333333333, -0.5, 0.09090909090909091, -0.125, 0.125]","[-8, -24, -32, 0, -60, -16, -4, -36, 4, -32, 44]","[32, -48, -32, 4, -36, 40, 48, -8, 44, -32, 32]","[11, 1, -15, 0, -9, -2, -1, -6, -8, -8, -4]","[10, -8, -9, -12, 12, 8, 8, -8, 11, 1, -2]",6.210925039872407,7.773809523809523,5.095718462823726,6.210925039872407,error,6.210925039872408,5.210925039872408,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
463,"[0, 3, 5, -4, 8, 9, -6, 6, 0, 9, -2, -4, -1, -1]","[3, 11, 10, 0, -4, -2, 1, 3, 9, 10, -2, 9, 9, 2]","[4, 7, 9, 0, 12, 13, -2, 10, 4, 13, 2, 0, 3, 3]","[7, 15, 14, 4, 0, 2, 5, 7, 13, 14, 2, 13, 13, 6]","[0, 3, 5, -4, 9, -6, 6, 0, 9, -2, -4, -1, -1]","[3, 11, 10, 0, -2, 1, 3, 9, 10, -2, 9, 9, 2]","[0, 3, 5, -4, 8, 9, -6, 6, 4, 0, 9, -2, -4, -1, -1]","[3, 11, 10, 0, -4, -2, 1, 3, 4, 9, 10, -2, 9, 9, 2]","[0, 3, 5, -4, 8, 9, -6, 6, 0, 9, -2, -4, -1, -1, 'ZeroDivisionError', 0.3333333333333333, 0.2, -0.25, 0.125, 0.1111111111111111, -0.16666666666666666, 0.16666666666666666, 'ZeroDivisionError', 0.1111111111111111, -0.5, -0.25, -1.0, -1.0]","[3, 11, 10, 0, -4, -2, 1, 3, 9, 10, -2, 9, 9, 2, 0.3333333333333333, 0.09090909090909091, 0.1, 'ZeroDivisionError', -0.25, -0.5, 1.0, 0.3333333333333333, 0.1111111111111111, 0.1, -0.5, 0.1111111111111111, 0.1111111111111111, 0.5]","[0, 12, 20, -16, 32, 36, -24, 24, 0, 36, -8, -16, -4, -4]","[12, 44, 40, 0, -16, -8, 4, 12, 36, 40, -8, 36, 36, 8]","[9, -2, 8, -4, 0, 3, 9, -4, 0, -6, -1, -1, 5, 6]","[11, 10, 9, 9, 3, -4, 2, 3, 0, -2, 9, 10, 1, -2]",10.290726817042605,,7.288340997356343,10.290726817042605,error,10.290726817042605,9.290726817042605,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
464,"[7, -11, 13, -5, 10, 9, 4, -7, 7, -6, 5, 10, 4]","[9, 12, 7, 3, 0, 2, 0, 10, -3, -3, -11, -4, 3]","[11, -7, 17, -1, 14, 13, 8, -3, 11, -2, 9, 14, 8]","[13, 16, 11, 7, 4, 6, 4, 14, 1, 1, -7, 0, 7]","[-11, 13, -5, 10, 9, 4, -7, 7, -6, 5, 10, 4]","[12, 7, 3, 0, 2, 0, 10, -3, -3, -11, -4, 3]","[7, -11, 13, -5, 4, 10, 9, 4, -7, 7, -6, 5, 10, 4]","[9, 12, 7, 3, 4, 0, 2, 0, 10, -3, -3, -11, -4, 3]","[7, -11, 13, -5, 10, 9, 4, -7, 7, -6, 5, 10, 4, 0.14285714285714285, -0.09090909090909091, 0.07692307692307693, -0.2, 0.1, 0.1111111111111111, 0.25, -0.14285714285714285, 0.14285714285714285, -0.16666666666666666, 0.2, 0.1, 0.25]","[9, 12, 7, 3, 0, 2, 0, 10, -3, -3, -11, -4, 3, 0.1111111111111111, 0.08333333333333333, 0.14285714285714285, 0.3333333333333333, 'ZeroDivisionError', 0.5, 'ZeroDivisionError', 0.1, -0.3333333333333333, -0.3333333333333333, -0.09090909090909091, -0.25, 0.3333333333333333]","[28, -44, 52, -20, 40, 36, 16, -28, 28, -24, 20, 40, 16]","[36, 48, 28, 12, 0, 8, 0, 40, -12, -12, -44, -16, 12]","[10, -11, 4, 10, 4, 9, -6, -7, 7, 5, 13, 7, -5]","[2, -4, 10, -3, 9, 12, 3, 7, 0, -11, 3, -3, 0]",9.537554112554112,9.714377289377289,8.454928989139514,9.537554112554112,error,9.537554112554112,9.412554112554112,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
465,"[0, 13, 10, 0, 10, 14]","[-3, -8, 10, -8, 11, -4]","[4, 17, 14, 4, 14, 18]","[1, -4, 14, -4, 15, 0]","[0, 13, 10, 0, 10]","[-3, -8, 10, -8, 11]","[0, 13, 10, 0, 4, 10, 14]","[-3, -8, 10, -8, 4, 11, -4]","[0, 13, 10, 0, 10, 14, 'ZeroDivisionError', 0.07692307692307693, 0.1, 'ZeroDivisionError', 0.1, 0.07142857142857142]","[-3, -8, 10, -8, 11, -4, -0.3333333333333333, -0.125, 0.1, -0.125, 0.09090909090909091, -0.25]","[0, 52, 40, 0, 40, 56]","[-12, -32, 40, -32, 44, -16]","[10, 0, 13, 10, 0, 14]","[-4, 10, -3, -8, -8, 11]",4.0476190476190474,5.12,3.6344827586206896,4.0476190476190474,error,4.0476190476190474,3.0476190476190474,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
466,"[16, -8, -10, 11]","[14, 1, 16, 7]","[20, -4, -6, 15]","[18, 5, 20, 11]","[-8, -10, 11]","[1, 16, 7]","[4, 16, -8, -10, 11]","[4, 14, 1, 16, 7]","[16, -8, -10, 11, 0.0625, -0.125, -0.1, 0.09090909090909091]","[14, 1, 16, 7, 0.07142857142857142, 1.0, 0.0625, 0.14285714285714285]","[64, -32, -40, 44]","[56, 4, 64, 28]","[16, -8, 11, -10]","[1, 16, 7, 14]",2.2888888888888888,3.104575163398693,2.206477732793522,2.2888888888888888,4.5777777777777775,2.2888888888888888,2.2222222222222223,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
467,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
468,"[-1, -4, 1, 6]","[-4, 5, -4, 2]","[3, 0, 5, 10]","[0, 9, 0, 6]","[-1, 1, 6]","[-4, -4, 2]","[-1, 4, -4, 1, 6]","[-4, 4, 5, -4, 2]","[-1, -4, 1, 6, -1.0, -0.25, 1.0, 0.16666666666666666]","[-4, 5, -4, 2, -0.25, 0.2, -0.25, 0.5]","[-4, -16, 4, 24]","[-16, 20, -16, 8]","[6, -1, -4, 1]","[2, -4, -4, 5]",3.1,1.7666666666666666,3.25,3.1,6.2,3.1,2.1,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
469,"[2, -4, -12, -12, -8, 1, -9]","[3, 1, -10, 1, -2, -5, -7]","[6, 0, -8, -8, -4, 5, -5]","[7, 5, -6, 5, 2, -1, -3]","[2, -4, -12, -8, 1, -9]","[3, 1, -10, -2, -5, -7]","[2, -4, -12, -12, -8, 4, 1, -9]","[3, 1, -10, 1, -2, 4, -5, -7]","[2, -4, -12, -12, -8, 1, -9, 0.5, -0.25, -0.08333333333333333, -0.08333333333333333, -0.125, 1.0, -0.1111111111111111]","[3, 1, -10, 1, -2, -5, -7, 0.3333333333333333, 1.0, -0.1, 1.0, -0.5, -0.2, -0.14285714285714285]","[8, -16, -48, -48, -32, 4, -36]","[12, 4, -40, 4, -8, -20, -28]","[-12, 1, -9, -12, -8, -4, 2]","[1, -2, 1, -10, -7, 3, -5]",4.015909090909091,5.157575757575758,4.46978021978022,4.015909090909091,8.031818181818181,4.015909090909091,3.0159090909090907,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
470,"[4, 4, 5]","[-6, 10, 6]","[8, 8, 9]","[-2, 14, 10]","[4, 4]","[-6, 10]","[4, 4, 4, 5]","[-6, 4, 10, 6]","[4, 4, 5, 0.25, 0.25, 0.2]","[-6, 10, 6, -0.16666666666666666, 0.1, 0.16666666666666666]","[16, 16, 20]","[-24, 40, 24]","[4, 4, 5]","[10, 6, -6]",1.5194805194805194,1.6285714285714286,1.325358851674641,1.5194805194805194,3.0389610389610393,1.5194805194805194,1.4285714285714286,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
471,"[-17, -6, -5, 4, -1, -7, -10, -17, 10, -12, -18, 10, 7]","[10, -2, -18, -10, -13, -7, -18, 11, 3, -1, -4, -5, -16]","[-13, -2, -1, 8, 3, -3, -6, -13, 14, -8, -14, 14, 11]","[14, 2, -14, -6, -9, -3, -14, 15, 7, 3, 0, -1, -12]","[-17, -6, -5, 4, -1, -10, -17, 10, -12, -18, 10, 7]","[10, -2, -18, -10, -13, -18, 11, 3, -1, -4, -5, -16]","[-17, -6, -5, 4, -1, -7, -10, -17, 10, -12, -18, 4, 10, 7]","[10, -2, -18, -10, -13, -7, -18, 11, 3, -1, -4, 4, -5, -16]","[-17, -6, -5, 4, -1, -7, -10, -17, 10, -12, -18, 10, 7, -0.058823529411764705, -0.16666666666666666, -0.2, 0.25, -1.0, -0.14285714285714285, -0.1, -0.058823529411764705, 0.1, -0.08333333333333333, -0.05555555555555555, 0.1, 0.14285714285714285]","[10, -2, -18, -10, -13, -7, -18, 11, 3, -1, -4, -5, -16, 0.1, -0.5, -0.05555555555555555, -0.1, -0.07692307692307693, -0.14285714285714285, -0.05555555555555555, 0.09090909090909091, 0.3333333333333333, -1.0, -0.25, -0.2, -0.0625]","[-68, -24, -20, 16, -4, -28, -40, -68, 40, -48, -72, 40, 28]","[40, -8, -72, -40, -52, -28, -72, 44, 12, -4, -16, -20, -64]","[-7, 10, -6, -12, -10, 7, -17, -17, -5, -1, 10, -18, 4]","[-4, -7, 3, -1, -16, -5, -2, -18, -13, 11, -18, -10, 10]",9.22905355514051,8.326425621162464,10.6,9.22905355514051,18.458107110281023,9.22905355514051,9.22905355514051,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
472,"[-7, 4, -3, 5]","[-2, -5, 6, -10]","[-3, 8, 1, 9]","[2, -1, 10, -6]","[-7, -3, 5]","[-2, 6, -10]","[4, -7, 4, -3, 5]","[4, -2, -5, 6, -10]","[-7, 4, -3, 5, -0.14285714285714285, 0.25, -0.3333333333333333, 0.2]","[-2, -5, 6, -10, -0.5, -0.2, 0.16666666666666666, -0.1]","[-28, 16, -12, 20]","[-8, -20, 24, -40]","[-3, -7, 5, 4]","[-2, 6, -10, -5]",3.5555555555555554,3.2,3.8181818181818183,3.5555555555555554,7.111111111111111,3.5555555555555554,2.5555555555555554,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
473,"[-2, 4, 1, -3, -5, 6, -1, -4, 10, 6, 5, 11, 10]","[-4, -1, -3, 10, 11, 6, 1, 10, -4, -3, 6, 7, -4]","[2, 8, 5, 1, -1, 10, 3, 0, 14, 10, 9, 15, 14]","[0, 3, 1, 14, 15, 10, 5, 14, 0, 1, 10, 11, 0]","[-2, 1, -3, -5, 6, -1, -4, 10, 6, 5, 11, 10]","[-4, -3, 10, 11, 6, 1, 10, -4, -3, 6, 7, -4]","[-2, 4, 4, 1, -3, -5, 6, -1, -4, 10, 6, 5, 11, 10]","[-4, 4, -1, -3, 10, 11, 6, 1, 10, -4, -3, 6, 7, -4]","[-2, 4, 1, -3, -5, 6, -1, -4, 10, 6, 5, 11, 10, -0.5, 0.25, 1.0, -0.3333333333333333, -0.2, 0.16666666666666666, -1.0, -0.25, 0.1, 0.16666666666666666, 0.2, 0.09090909090909091, 0.1]","[-4, -1, -3, 10, 11, 6, 1, 10, -4, -3, 6, 7, -4, -0.25, -1.0, -0.3333333333333333, 0.1, 0.09090909090909091, 0.16666666666666666, 1.0, 0.1, -0.25, -0.3333333333333333, 0.16666666666666666, 0.14285714285714285, -0.25]","[-8, 16, 4, -12, -20, 24, -4, -16, 40, 24, 20, 44, 40]","[-16, -4, -12, 40, 44, 24, 4, 40, -16, -12, 24, 28, -16]","[11, -2, 6, 5, -5, -1, -3, 10, 6, 4, -4, 10, 1]","[7, -3, -4, 6, 1, 10, 10, -3, 6, -4, -4, -1, 11]",9.646464646464645,8.346464646464646,8.262538338854128,9.646464646464645,19.292929292929294,9.646464646464647,8.646464646464647,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
474,"[-1, -3, -1, -3, 2, -1, 0, 6]","[9, 8, -2, -5, 1, -4, 2, 7]","[3, 1, 3, 1, 6, 3, 4, 10]","[13, 12, 2, -1, 5, 0, 6, 11]","[-1, -3, -1, -3, 2, 0, 6]","[9, 8, -2, -5, 1, 2, 7]","[-1, -3, -1, 4, -3, 2, -1, 0, 6]","[9, 8, -2, 4, -5, 1, -4, 2, 7]","[-1, -3, -1, -3, 2, -1, 0, 6, -1.0, -0.3333333333333333, -1.0, -0.3333333333333333, 0.5, -1.0, 'ZeroDivisionError', 0.16666666666666666]","[9, 8, -2, -5, 1, -4, 2, 7, 0.1111111111111111, 0.125, -0.5, -0.2, 1.0, -0.25, 0.5, 0.14285714285714285]","[-4, -12, -4, -12, 8, -4, 0, 24]","[36, 32, -8, -20, 4, -16, 8, 28]","[-3, 0, -1, -1, 6, 2, -1, -3]","[8, -2, 9, -4, 1, 2, 7, -5]",4.593589743589743,5.564285714285715,4.0096819846819844,4.593589743589743,error,4.593589743589744,3.993589743589744,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
475,"[-9, 7, 10, 1, -4, 0, 1, -3]","[-1, -9, -9, -3, -9, -9, 7, 3]","[-5, 11, 14, 5, 0, 4, 5, 1]","[3, -5, -5, 1, -5, -5, 11, 7]","[-9, 7, 10, 1, -4, 0, -3]","[-1, -9, -9, -3, -9, -9, 3]","[-9, 7, 4, 10, 1, -4, 0, 1, -3]","[-1, -9, 4, -9, -3, -9, -9, 7, 3]","[-9, 7, 10, 1, -4, 0, 1, -3, -0.1111111111111111, 0.14285714285714285, 0.1, 1.0, -0.25, 'ZeroDivisionError', 1.0, -0.3333333333333333]","[-1, -9, -9, -3, -9, -9, 7, 3, -1.0, -0.1111111111111111, -0.1111111111111111, -0.3333333333333333, -0.1111111111111111, -0.1111111111111111, 0.14285714285714285, 0.3333333333333333]","[-36, 28, 40, 4, -16, 0, 4, -12]","[-4, -36, -36, -12, -36, -36, 28, 12]","[-3, 0, 1, -9, 10, 7, -4, 1]","[-9, -9, -9, -1, 7, -9, -3, 3]",6.934615384615384,5.1193277310924366,6.791666666666666,6.934615384615384,error,6.934615384615384,6.184615384615385,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
476,"[3, -12, 9, 11, -9, -1, 13, -7, 7]","[3, 3, -7, 13, 2, 1, -8, -16, 9]","[7, -8, 13, 15, -5, 3, 17, -3, 11]","[7, 7, -3, 17, 6, 5, -4, -12, 13]","[3, 9, 11, -9, -1, 13, -7, 7]","[3, -7, 13, 2, 1, -8, -16, 9]","[3, -12, 4, 9, 11, -9, -1, 13, -7, 7]","[3, 3, 4, -7, 13, 2, 1, -8, -16, 9]","[3, -12, 9, 11, -9, -1, 13, -7, 7, 0.3333333333333333, -0.08333333333333333, 0.1111111111111111, 0.09090909090909091, -0.1111111111111111, -1.0, 0.07692307692307693, -0.14285714285714285, 0.14285714285714285]","[3, 3, -7, 13, 2, 1, -8, -16, 9, 0.3333333333333333, 0.3333333333333333, -0.14285714285714285, 0.07692307692307693, 0.5, 1.0, -0.125, -0.0625, 0.1111111111111111]","[12, -48, 36, 44, -36, -4, 52, -28, 28]","[12, 12, -28, 52, 8, 4, -32, -64, 36]","[-12, -9, 7, -1, 13, 11, 9, 3, -7]","[9, 3, -16, 13, -8, -7, 2, 1, 3]",5.59963768115942,8.136363636363637,4.995833333333333,5.59963768115942,11.19927536231884,5.59963768115942,4.59963768115942,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
477,"[-14, 10, 6, -9, -11, 8, -4, -8, 6, 1, -3, -7, 3]","[4, -12, -7, -8, 2, -1, 9, -6, -1, -7, -1, -5, 5]","[-10, 14, 10, -5, -7, 12, 0, -4, 10, 5, 1, -3, 7]","[8, -8, -3, -4, 6, 3, 13, -2, 3, -3, 3, -1, 9]","[-14, 10, 6, -9, -11, 8, -8, 6, 1, -3, -7, 3]","[4, -12, -7, -8, 2, -1, -6, -1, -7, -1, -5, 5]","[-14, 10, 6, -9, -11, 8, -4, -8, 6, 1, -3, 4, -7, 3]","[4, -12, -7, -8, 2, -1, 9, -6, -1, -7, -1, 4, -5, 5]","[-14, 10, 6, -9, -11, 8, -4, -8, 6, 1, -3, -7, 3, -0.07142857142857142, 0.1, 0.16666666666666666, -0.1111111111111111, -0.09090909090909091, 0.125, -0.25, -0.125, 0.16666666666666666, 1.0, -0.3333333333333333, -0.14285714285714285, 0.3333333333333333]","[4, -12, -7, -8, 2, -1, 9, -6, -1, -7, -1, -5, 5, 0.25, -0.08333333333333333, -0.14285714285714285, -0.125, 0.5, -1.0, 0.1111111111111111, -0.16666666666666666, -1.0, -0.14285714285714285, -1.0, -0.2, 0.2]","[-56, 40, 24, -36, -44, 32, -16, -32, 24, 4, -12, -28, 12]","[16, -48, -28, -32, 8, -4, 36, -24, -4, -28, -4, -20, 20]","[1, 6, -14, -9, -4, 3, 10, -11, 8, 6, -8, -7, -3]","[-6, -1, 4, -1, -5, -1, -12, 2, 9, -7, -7, -8, 5]",9.118347338935573,9.103267973856209,8.707905982905983,9.118347338935573,18.23669467787115,9.118347338935573,8.118347338935575,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
